ID,Length,Width,Height,Surface_Area,Volume,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z
67,3,5.5,3.5,92.5,57.75,1.4,3.4,1.5,1.0,1.0,1.5
68,3,5.5,3.5,92.5,57.75,1.8,1.8,1.5,1.0,1.0,1.5
69,3,5.5,3.5,92.5,57.75,1.0,1.4,1.5,1.4,2.6,1.5
70,3,5.5,4,101.0,66.0,1.4,3.4,1.5,1.0,1.0,1.5
71,3,5.5,4,101.0,66.0,1.8,1.8,1.5,1.0,1.0,1.5
72,3,5.5,4,101.0,66.0,1.0,1.4,1.5,1.4,2.6,1.5
73,3,6,2.5,81.0,45.0,1.0,3.4,1.5,1.0,1.8,1.5
74,3,6,2.5,81.0,45.0,1.4,4.6,1.5,1.4,1.4,1.5
75,3,6,2.5,81.0,45.0,1.4,1.8,1.5,1.0,5.0,1.5
76,3,6,3,90,54,1.0,3.4,1.5,1.0,1.8,1.5
77,3,6,3,90,54,1.4,4.6,1.5,1.4,1.4,1.5
78,3,6,3,90,54,1.4,1.8,1.5,1.0,5.0,1.5
79,3,6,3.5,99.0,63.0,1.0,3.4,1.5,1.0,1.8,1.5
80,3,6,3.5,99.0,63.0,1.4,4.6,1.5,1.4,1.4,1.5
81,3,6,3.5,99.0,63.0,1.4,1.8,1.5,1.0,5.0,1.5
82,3,6,4,108,72,1.0,3.4,1.5,1.0,1.8,1.5
83,3,6,4,108,72,1.4,4.6,1.5,1.4,1.4,1.5
84,3,6,4,108,72,1.4,1.8,1.5,1.0,5.0,1.5
85,3.5,3,2.5,53.5,26.25,1.4,1.0,1.5,2.2,1.8,1.5
86,3.5,3,2.5,53.5,26.25,1.4,1.8,1.5,2.2,1.0,1.5
87,3.5,3,2.5,53.5,26.25,1.0,1.8,1.5,2.2,1.8,1.5
88,3.5,3,3,60.0,31.5,1.4,1.0,1.5,2.2,1.8,1.5
89,3.5,3,3,60.0,31.5,1.4,1.8,1.5,2.2,1.0,1.5
90,3.5,3,3,60.0,31.5,1.0,1.8,1.5,2.2,1.8,1.5
91,3.5,3,3.5,66.5,36.75,1.4,1.0,1.5,2.2,1.8,1.5
92,3.5,3,3.5,66.5,36.75,1.4,1.8,1.5,2.2,1.0,1.5
93,3.5,3,3.5,66.5,36.75,1.0,1.8,1.5,2.2,1.8,1.5
94,3.5,3,4,73.0,42.0,1.4,1.0,1.5,2.2,1.8,1.5
95,3.5,3,4,73.0,42.0,1.4,1.8,1.5,2.2,1.0,1.5
96,3.5,3,4,73.0,42.0,1.0,1.8,1.5,2.2,1.8,1.5
97,3.5,3.5,2.5,59.5,30.625,1.0,1.8,1.5,2.2,1.0,1.5
98,3.5,3.5,2.5,59.5,30.625,2.2,2.2,1.5,1.0,1.0,1.5
99,3.5,3.5,2.5,59.5,30.625,2.2,1.4,1.5,1.0,2.2,1.5
100,3.5,3.5,3,66.5,36.75,1.0,1.8,1.5,2.2,1.0,1.5
101,3.5,3.5,3,66.5,36.75,2.2,2.2,1.5,1.0,1.0,1.5
