filename,RT60_RT20,Corr_RT60_RT20,RT60_RT30,Corr_RT60_RT30
RIR_012_case2.wav,1.713,0.999,2.029,0.998
RIR_012_case3.wav,0.098,0.999,0.114,0.998
RIR_012_case4.wav,0.096,0.999,0.133,0.996
RIR_012_case5.wav,0.341,0.998,0.46,0.995
RIR_012_case6.wav,0.409,0.997,0.586,0.991
RIR_012_case7.wav,0.534,0.993,0.891,0.987
RIR_012_case8.wav,0.538,0.998,0.613,0.998
RIR_012_case9.wav,0.3,0.996,0.413,0.994
RIR_013_case0.wav,0.134,0.996,0.203,0.989
RIR_013_case1.wav,0.103,0.999,0.127,0.997
RIR_013_case2.wav,1.715,0.998,2.132,0.996
RIR_013_case3.wav,0.099,1.0,0.111,0.999
RIR_013_case4.wav,0.091,1.0,0.127,0.996
RIR_013_case5.wav,0.367,0.998,0.455,0.996
RIR_013_case6.wav,0.587,0.995,0.721,0.994
RIR_013_case7.wav,0.567,0.996,0.782,0.993
RIR_013_case8.wav,0.596,0.999,0.681,0.998
RIR_013_case9.wav,0.359,0.997,0.504,0.994
RIR_014_case0.wav,0.113,0.995,0.2,0.987
RIR_014_case1.wav,0.088,0.998,0.12,0.995
RIR_014_case2.wav,1.671,0.998,2.082,0.996
RIR_014_case3.wav,0.085,0.999,0.103,0.998
RIR_014_case4.wav,0.082,0.998,0.122,0.993
RIR_014_case5.wav,0.295,0.998,0.393,0.995
RIR_014_case6.wav,0.33,0.997,0.614,0.987
RIR_014_case7.wav,0.473,0.997,0.638,0.993
RIR_014_case8.wav,0.581,0.998,0.65,0.997
RIR_014_case9.wav,0.304,0.997,0.47,0.99
RIR_015_case0.wav,0.129,0.994,0.194,0.989
RIR_015_case1.wav,0.088,0.998,0.117,0.995
RIR_015_case2.wav,1.667,0.998,2.067,0.996
RIR_015_case3.wav,0.085,0.999,0.103,0.998
RIR_015_case4.wav,0.081,0.999,0.116,0.994
RIR_015_case5.wav,0.315,0.997,0.399,0.996
RIR_015_case6.wav,0.39,0.996,0.586,0.992
RIR_015_case7.wav,0.449,0.997,0.634,0.993
RIR_015_case8.wav,0.579,0.998,0.641,0.998
RIR_015_case9.wav,0.328,0.997,0.459,0.99
RIR_016_case0.wav,0.117,0.996,0.203,0.988
RIR_016_case1.wav,0.102,0.998,0.134,0.995
RIR_016_case2.wav,1.731,0.998,2.123,0.997
RIR_016_case3.wav,0.097,0.999,0.11,0.998
RIR_016_case4.wav,0.091,0.999,0.126,0.995
RIR_016_case5.wav,0.359,0.998,0.442,0.996
RIR_016_case6.wav,0.548,0.995,0.712,0.993
RIR_016_case7.wav,0.568,0.995,0.797,0.992
RIR_016_case8.wav,0.6,0.999,0.684,0.998
RIR_016_case9.wav,0.379,0.998,0.508,0.995
RIR_017_case0.wav,0.114,0.995,0.202,0.986
RIR_017_case1.wav,0.096,0.998,0.127,0.994
RIR_017_case2.wav,1.671,0.998,2.056,0.997
RIR_017_case3.wav,0.086,0.999,0.104,0.997
RIR_017_case4.wav,0.088,0.999,0.124,0.992
RIR_017_case5.wav,0.306,0.997,0.375,0.997
RIR_017_case6.wav,0.343,0.996,0.592,0.988
RIR_017_case7.wav,0.467,0.996,0.648,0.991
RIR_017_case8.wav,0.579,0.998,0.648,0.997
RIR_017_case9.wav,0.303,0.997,0.47,0.99
RIR_018_case0.wav,0.121,0.994,0.197,0.988
RIR_018_case1.wav,0.094,0.998,0.125,0.995
RIR_018_case2.wav,1.68,0.998,2.068,0.996
RIR_018_case3.wav,0.087,0.999,0.105,0.997
RIR_018_case4.wav,0.084,0.999,0.122,0.994
RIR_018_case5.wav,0.307,0.997,0.366,0.996
RIR_018_case6.wav,0.379,0.995,0.57,0.992
RIR_018_case7.wav,0.428,0.996,0.633,0.991
RIR_018_case8.wav,0.578,0.998,0.639,0.998
RIR_018_case9.wav,0.316,0.997,0.457,0.99
RIR_019_case0.wav,0.157,0.994,0.22,0.99
RIR_019_case1.wav,0.122,0.999,0.157,0.997
RIR_019_case2.wav,1.819,0.998,2.151,0.997
RIR_019_case3.wav,0.111,1.0,0.123,0.999
RIR_019_case4.wav,0.103,0.999,0.137,0.996
RIR_019_case5.wav,0.4,0.998,0.483,0.997
RIR_019_case6.wav,0.594,0.996,0.731,0.994
RIR_019_case7.wav,0.65,0.995,0.852,0.993
RIR_019_case8.wav,0.601,0.999,0.684,0.999
RIR_019_case9.wav,0.377,0.998,0.512,0.994
RIR_020_case0.wav,0.127,0.995,0.212,0.988
RIR_020_case1.wav,0.11,0.998,0.14,0.996
RIR_020_case2.wav,1.782,0.999,2.144,0.997
RIR_020_case3.wav,0.098,0.999,0.116,0.998
RIR_020_case4.wav,0.095,0.999,0.138,0.994
RIR_020_case5.wav,0.331,0.998,0.445,0.996
RIR_020_case6.wav,0.393,0.997,0.649,0.988
RIR_020_case7.wav,0.52,0.996,0.71,0.992
RIR_020_case8.wav,0.584,0.999,0.653,0.998
RIR_020_case9.wav,0.302,0.997,0.469,0.99
RIR_021_case0.wav,0.129,0.995,0.211,0.989
RIR_021_case1.wav,0.108,0.999,0.136,0.996
RIR_021_case2.wav,1.805,0.998,2.14,0.997
RIR_021_case3.wav,0.099,0.999,0.116,0.998
RIR_021_case4.wav,0.097,0.999,0.134,0.995
RIR_021_case5.wav,0.359,0.998,0.416,0.998
RIR_021_case6.wav,0.418,0.997,0.63,0.992
RIR_021_case7.wav,0.497,0.995,0.663,0.992
RIR_021_case8.wav,0.58,0.998,0.642,0.998
RIR_021_case9.wav,0.322,0.997,0.461,0.99
RIR_022_case0.wav,0.144,0.997,0.248,0.988
RIR_022_case1.wav,0.125,0.999,0.165,0.996
RIR_022_case2.wav,1.853,0.999,2.199,0.997
RIR_022_case3.wav,0.116,1.0,0.131,0.999
RIR_022_case4.wav,0.107,0.999,0.147,0.996
RIR_022_case5.wav,0.403,0.997,0.47,0.997
RIR_022_case6.wav,0.608,0.996,0.741,0.994
RIR_022_case7.wav,0.695,0.995,0.868,0.992
RIR_022_case8.wav,0.595,0.999,0.681,0.998
RIR_022_case9.wav,0.379,0.997,0.51,0.994
RIR_023_case0.wav,0.126,0.997,0.216,0.988
RIR_023_case1.wav,0.12,0.998,0.146,0.997
RIR_023_case2.wav,1.838,0.998,2.187,0.997
RIR_023_case3.wav,0.106,0.999,0.123,0.998
RIR_023_case4.wav,0.101,0.999,0.132,0.996
RIR_023_case5.wav,0.35,0.999,0.45,0.996
RIR_023_case6.wav,0.385,0.998,0.68,0.987
RIR_023_case7.wav,0.527,0.995,0.72,0.991
